Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Aaron Holiday,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Vit Krejci,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Team Totals,240,42,95,.442,15,31,.484,15,19,.789,13,33,46,25,9,4,14,17,114,,Toronto
Dejounte Murray,35:34,6,16,.375,1,3,.333,3,4,.750,3,4,7,7,1,0,1,0,16,-1,LA Lakers
De'Andre Hunter,34:59,7,14,.500,1,3,.333,3,4,.750,0,7,7,0,1,1,3,2,18,+1,LA Lakers
Trae Young,32:51,9,19,.474,6,10,.600,4,4,1.000,0,2,2,9,2,0,3,2,28,+4,LA Lakers
Clint Capela,29:26,4,10,.400,0,0,,0,0,,5,5,10,0,0,1,3,2,8,-5,LA Lakers
John Collins,27:46,3,7,.429,0,3,.000,1,1,1.000,2,2,4,3,2,1,1,3,7,-7,LA Lakers
Saddiq Bey,25:31,5,8,.625,3,4,.750,1,1,1.000,0,0,0,0,0,0,1,1,14,+15,LA Lakers
Bogdan Bogdanović,22:18,5,11,.455,4,8,.500,1,1,1.000,0,2,2,3,0,0,2,3,15,+10,LA Lakers
Onyeka Okongwu,18:34,1,4,.250,0,0,,2,4,.500,1,7,8,1,2,1,0,3,4,+12,LA Lakers
Jalen Johnson,13:01,2,6,.333,0,0,,0,0,,2,4,6,2,1,0,0,1,4,+6,LA Lakers
Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
AJ Griffin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Aaron Holiday,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Vit Krejci,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Team Totals,240,42,95,.442,15,31,.484,15,19,.789,13,33,46,25,9,4,14,17,114,,LA Lakers
