Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Shaedon Sharpe,17:14,0,0,,0,0,,1,2,.500,1,1,2,1,1,0,0,2,1,-19,LA Lakers
Nassir Little,9:14,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,2,0,-4,LA Lakers
Keon Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Kevin Knox,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Jabari Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Trendon Watford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Team Totals,240,42,80,.525,15,36,.417,20,30,.667,5,31,36,24,6,3,9,17,119,,LA Lakers
Nikola Jokić,38:30,14,24,.583,4,6,.667,5,6,.833,3,8,11,11,3,0,5,2,37,-2,Toronto
Jamal Murray,37:18,9,21,.429,2,8,.250,4,4,1.000,2,4,6,7,3,2,4,2,24,-4,Toronto
Kentavious Caldwell-Pope,37:05,4,8,.500,3,6,.500,2,2,1.000,1,1,2,5,4,1,0,0,13,-5,Toronto
Aaron Gordon,33:35,5,8,.625,2,5,.400,2,2,1.000,0,6,6,3,1,1,3,3,14,0,Toronto
Michael Porter Jr.,20:18,3,5,.600,1,3,.333,0,0,,0,1,1,1,0,0,0,1,7,-5,Toronto
